License No,Business Name,Class,Class Detail,City
111349,C J Beth Inc,CR-60,Finish Carpentry,Payson
207987,Fauxoneone LLC,CR-5,As Restricted by the Registrar,New River
317891,ACS Concrete LC,C-9,Concrete,Phoenix
283985,Miller Homes LLC,B,General Residential Contractor,Gilbert
98020,Steel Masters Inc,CR-14,Fencing,Phoenix
326323,ABC Creations LLC,CR-61,Carpentry Remodeling and Repairs,Mayer
199225,Exact Painting LLC,CR-34,Painting and Wall Covering,Phoenix
326138,Nichols Design LLC,R-62,Minor Home Improvements,Chandler
143558,Sunburst Patios LLC,CR-3,Awnings Canopies Carports and Patio Cove,Prescott Valley
305613,C & M  Builders Inc,KB-1,Dual Building Contractor,Gilbert
340887,A & B Transport LLC,R-2,Excavating Grading and Oil Surfacing,Glendale
242432,Ez Flow Plumbing LLC,CR-37,Plumbing,Chandler
326242,Laie Investments LLC,KB-2,Dual Residential and Small Commercial,Tucson
95433,Charles Scott Delaney,R-37R,Plumbing,Phoenix
284194,Steven Douglas Hanson,CR-39,Air Conditioning and Refrigeration,Flagstaff
335066,Patt Construction LLC,KB-1,Dual Building Contractor,Tempe
197638,Cutting Edge Homes Inc,KB-2,Dual Residential and Small Commercial,Lake Havasu City
314286,JL Stainless Steel LLC,CR-45,Sheet Metal,Phoenix
342498,Magnus Contracting LLC,CR-41,Septic Tanks and Systems,Buckeye
278006,Posco Manufacturing Inc,R-62,Minor Home Improvements,Tucson
334675,RJ Home Improvement LLC,R-62,Minor Home Improvements,Mesa
226747,A & C Floor Covering LLC,CR-8,Floor Covering,Avondale
326610,Leones Pool Plumbing LLC,CR-37,Plumbing,Phoenix
183419,On Call Refrigeration Inc,CR-39,Air Conditioning and Refrigeration,Yuma
324054,Make Remodeling Great LLC,CR-61,Carpentry Remodeling and Repairs,Phoenix
187233,Q T M Tile Contractors LLC,CR-48,Ceramic Plastic and Metal Tile,Prescott
327027,Everstand Construction LLC,R-2,Excavating Grading and Oil Surfacing,Scottsdale
240439,Air Design A C and Heat LLC,CR-39,Air Conditioning and Refrigeration,Phoenix
338033,WESTERN DESERT ELECTRIC LLC,CR-11,Electrical,TEMPE
310421,Lopez Brothers Interiors LLC,CR-1,Acoustical Systems,Laveen
205508,Ground Zero Plumbing & AC LLC,CR-39,Air Conditioning and Refrigeration,Gilbert
337344,Fire Sprinkler Installers LLC,CR-16,Fire Protection Systems,GILBERT
318532,Ray's Top Quality Painting LLC,CR-34,Painting and Wall Covering,Glendale
289032,Royal Construction Services LLC,CR-61,Carpentry Remodeling and Repairs,Phoenix
257616,Asphalt Restoration Services Inc,A-14,Asphalt Paving,Phoenix
285262,Sanctuary Custom Construction LLC,B,General Residential Contractor,Tucson
328817,LA GRANDE CONSTRUCTION COMPANY LLC,KB-1,Dual Building Contractor,PHOENIX
262093,Marcon Excavating & Construction Inc,CR-9,Concrete,Tucson
333642,Top Choice Electrical Contractors Corp,KB-1,Dual Building Contractor,Chandler
200711,Bjerk Builders Residential Construction LLC,B,General Residential Contractor,Gilbert



