License No,Business Name,Class,Class Detail,City
337811,ROCHA LLC,C-39,Air Conditioning and Refrigeration,Tempe
284315,Jaime Ramos,CR-34,Painting and Wall Covering,Tolleson
316790,Proscape LLC,CR-21,Hardscaping and Irrigation Systems,Gilbert
297154,AK Studio LLC,CR-60,Finish Carpentry,Phoenix
207987,Fauxoneone LLC,CR-5,As Restricted by the Registrar,New River
335708,Staybility LLC,CR-61,Carpentry Remodeling and Repairs,GOODYEAR
274386,JI Coatings LLC,CR-34,Painting and Wall Covering,Yuma
332372,RockJuniper LLC,KB-2,Dual Residential and Small Commercial,Flagstaff
156489,GHD Services Inc,A,General Engineering,Phoenix
283985,Miller Homes LLC,B,General Residential Contractor,Gilbert
326835,AZ Spruce Up LLC,CR-67,Low Voltage Communication Systems,Gilbert
339880,LAMASSU BULL LLC,CR-61,Carpentry Remodeling and Repairs,PEORIA
184551,Cool Days A C Inc,C-39,Air Conditioning and Refrigeration,Higley
288409,Ron Wayne Dildine,CR-10,Drywall,Gilbert
326323,ABC Creations LLC,CR-61,Carpentry Remodeling and Repairs,Mayer
340916,Properly Done LLC,R-62,Minor Home Improvements,VAIL
155406,The Ironworker Inc,CR-17,Steel and Aluminum Erection,Prescott
240029,Classic Garage Inc,CR-5,As Restricted by the Registrar,Prescott
298346,Chris Connolly Inc,CR-39,Air Conditioning and Refrigeration,Cottonwood
326138,Nichols Design LLC,R-62,Minor Home Improvements,Chandler
337397,Monument Homes LLC,KB-2,Dual Residential and Small Commercial,Mesa
92491,Carter Builders Inc,B,General Residential Contractor,Prescott
190461,Jacobs Electric Inc,CR-11,Electrical,Tucson
266950,Hudson Services Inc,C-77,Plumbing Including Solar,Peoria
305613,C & M  Builders Inc,KB-1,Dual Building Contractor,Gilbert
326022,Richard Lee Herrera,A-5,Excavating Grading and Oil Surfacing,Payson
336288,Golden Air HVAC LLC,CR-39,Air Conditioning Refrigeration and Heati,Phoenix
76395,Michael John O'Brien,C-49,Refrigeration,Lake Havasu City
170633,Mancuso Concrete Inc,R-9,Concrete,Lake Havasu City
242432,Ez Flow Plumbing LLC,CR-37,Plumbing,Chandler
290502,L N L Excavating Inc,R-2,Excavating Grading and Oil Surfacing,Anthem
320054,T L Custom Build LLC,KB-2,Dual Residential and Small Commercial,Tucson
330830,Mendoza Flooring LLC,KB-2,Dual Residential and Small Commercial,Flagstaff
338802,Kelly's Electric LLC,CR-11,Electrical,Casa Grande
95433,Charles Scott Delaney,R-37R,Plumbing,Phoenix
192051,Invision Electric LLC,CR-11,Electrical,Higley
259936,C C S Connections Inc,CR-67,Low Voltage Communication Systems,Phoenix
304605,Pro Tractor Works LLC,CR-2,Excavating Grading and Oil Surfacing,phoenix
325250,Miken Contracting LLC,KB-1,Dual Building Contractor,Chandler
335066,Patt Construction LLC,KB-1,Dual Building Contractor,Tempe
343025,Outlaw Excavating LLC,CR-80,Sewers Drains and Pipe Laying,Tucson
160723,Ludtke Contracting Inc,CR-11,Electrical,Glendale
230242,W T M Construction Inc,B-2,General Small Commercial Contractor,Payson
281976,A Laguna Pools Q C LLC,CR-36,Plastering,Queen Creek
314286,JL Stainless Steel LLC,CR-45,Sheet Metal,Phoenix
329083,The Pool Whisperer LLC,R-6,Swimming Pool Service and Repair,Gilbert
338281,Dialed In Services LLC,CR-39,Air Conditioning and Refrigeration,Mesa
104648,R Group Enterprises Inc,B-1,General Commercial Contractor,Kingman
209332,L and L Landscaping LLC,CR-21,Hardscaping and Irrigation Systems,Tucson
278006,Posco Manufacturing Inc,R-62,Minor Home Improvements,Tucson
314218,Muddy Tires Grading LLC,CR-2,Excavating Grading and Oil Surfacing,Queen Creek
329273,Wilbanks Excavating LLC,CR-41,Septic Tanks and Systems,Pine
339322,PERFECTION POOLS L.L.C.,CR-6,Swimming Pool Service and Repair,GOODYEAR
127927,Unique Home Services Inc,B,General Residential Contractor,Scottsdale
226747,A & C Floor Covering LLC,CR-8,Floor Covering,Avondale
284365,Bendigo Custom Stone Inc,CR-31,Masonry,Phoenix
320184,Hercules Contractors LLC,B,General Residential Contractor,Scottsdale
332440,Wolfpack Contracting LLC,KB-2,Dual Residential and Small Commercial,Phoenix
342076,The Installation Guy LLC,CR-60,Finish Carpentry,Phoenix
183419,On Call Refrigeration Inc,CR-39,Air Conditioning and Refrigeration,Yuma
261402,Universal Fog Systems Inc,CR-5,As Restricted by the Registrar,Mesa
311989,Centerline Mechanical LLC,C-4,Boilers Steamfitting and Process Piping,Tucson
330292,Schuyler Construction LLC,B-1,General Commercial Contractor,Tucson
340923,AZ Plumbing Solutions LLC,CR-37,Plumbing,Chandler
187233,Q T M Tile Contractors LLC,CR-48,Ceramic Plastic and Metal Tile,Prescott
274451,Impact Sign & Graphics LLC,CR-38,Signs,Scottsdale
316914,Kodiak Interiors Group LLC,CR-8,Floor Covering,Phoenix
334191,Blue Canyon Remodeling LLC,R-62,Minor Home Improvements,Surprise
107935,P C I Prime Contracting Inc,A,General Engineering,Glendale
240439,Air Design A C and Heat LLC,CR-39,Air Conditioning and Refrigeration,Phoenix
306187,Desert Pool & Landscape Inc,CR-21,Hardscaping and Irrigation Systems,Mesa
331453,Twin Star Construction Inc.,B,General Residential Contractor,Glendale
78439,Kirk Nielson Development Inc,B,General Residential Contractor,Mesa
239442,G R B Construction Group LLC,B-2,General Small Commercial Contractor,Tucson
310421,Lopez Brothers Interiors LLC,CR-1,Acoustical Systems,Laveen
333507,Rivers Cooling & Heating LLC,CR-39,Air Conditioning and Refrigeration,Apache Junction
111599,Padilla Signature Builder Inc,B,General Residential Contractor,Scottsdale
257477,Arizona Restaurant Supply Inc,C-49,Refrigeration,Tucson
318214,Valley Of The Sun Roofing LLC,R-62,Minor Home Improvements,Tolleson
337344,Fire Sprinkler Installers LLC,CR-16,Fire Protection Systems,GILBERT
159985,Bauhaus Design Development Inc,KB-2,Dual Residential and Small Commercial,Tucson
284657,A Finer Touch Construction LLC,KB-1,Dual Building Contractor,Scottsdale
330634,Inland Prestige Properties LLC,B-5,General Swimming Pool Contractor,Lake Havasu City
117327,B A S S Electric Of Arizona Inc,C-11,Electrical,Mesa
289032,Royal Construction Services LLC,CR-61,Carpentry Remodeling and Repairs,Phoenix
333336,Temeka Advertising Incorporated,C-38,Signs,Chandler
193355,Heatwave General Contracting Inc,KB-1,Dual Building Contractor,Glendale
308921,Stewart Mechanical Solutions LLC,CR-39,Air Conditioning and Refrigeration,Phoenix
341937,J B Sales & Water Distillers LLC,CR-39,Air Conditioning and Refrigeration,Mesa
285262,Sanctuary Custom Construction LLC,B,General Residential Contractor,Tucson
340312,Apex Plumbing and Pipefitting LLC,R-37R,Plumbing,Surprise
299296,Christian Brothers Plumbing Co Inc,CR-11,Electrical,Glendale
342748,Sunrise Grading and Excavation LLC,CR-2,Excavating Grading and Oil Surfacing,laveen
325976,Proactive Construction Services Inc,C-39,Air Conditioning and Refrigeration,Scottsdale
262093,Marcon Excavating & Construction Inc,CR-9,Concrete,Tucson
231488,Clayton Floor Covering and Design LLC,CR-8,Floor Covering,Scottsdale
236281,On The Level Repair and Remodeling LLC,B-3,General Remodeling and Repair Contractor,Cave Creek
296612,America's Pride Cooling And Heating LLC,CR-39,Air Conditioning and Refrigeration,Glendale
