License No,Business Name,Class,Class Detail,City
317891,ACS Concrete LC,C-9,Concrete,Phoenix
326323,ABC Creations LLC,CR-61,Carpentry Remodeling and Repairs,Mayer
143558,Sunburst Patios LLC,CR-3,Awnings Canopies Carports and Patio Cove,Prescott Valley
242432,Ez Flow Plumbing LLC,CR-37,Plumbing,Chandler
284194,Steven Douglas Hanson,CR-39,Air Conditioning and Refrigeration,Flagstaff
314286,JL Stainless Steel LLC,CR-45,Sheet Metal,Phoenix
334675,RJ Home Improvement LLC,R-62,Minor Home Improvements,Mesa
183419,On Call Refrigeration Inc,CR-39,Air Conditioning and Refrigeration,Yuma
327027,Everstand Construction LLC,R-2,Excavating Grading and Oil Surfacing,Scottsdale
310421,Lopez Brothers Interiors LLC,CR-1,Acoustical Systems,Laveen
318532,Ray's Top Quality Painting LLC,CR-34,Painting and Wall Covering,Glendale
285262,Sanctuary Custom Construction LLC,B,General Residential Contractor,Tucson
333642,Top Choice Electrical Contractors Corp,KB-1,Dual Building Contractor,Chandler
